term,index,definition
controlled group,title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-430_subsection-k,"means any group treated as a single employer under subsections (b), (c), (m), and (o) of section 414."
controlled group,title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-430_subsection-m,"means all persons treated as a single employer under subsection (b), (c), (m), or (o) of section 414 as of December 20, 2019."
controlled group,title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-433_subsection-g,"means any group treated as a single employer under subsections (b), (c), (m), and (o) of section 414."
controlled group,title-26_subtitle-A_chapter-1_subchapter-F_part-I_section-501_subsection-c,"meaning given such term by section 831(b)(2)(B)(ii),1 except that in applying section 831(b)(2)(B)(ii) 1 for purposes of this subparagraph, subparagraphs (B) and (C) of section 1563(b)(2) shall be disregarded."
controlled group,title-26_subtitle-A_chapter-1_subchapter-L_part-II_section-831_subsection-b,"means any controlled group of corporations (as defined in section 1563(a)); except that— (I) ""more than 50 percent"" shall be substituted for ""at least 80 percent"" each place it appears in section 1563(a), and (II) subsections (a)(4) and (b)(2)(D) of section 1563 shall not apply."
controlled group,title-26_subtitle-A_chapter-1_subchapter-M_part-I_section-851_subsection-c,"means one or more chains of corporations connected through stock ownership with the taxpayer if— (A) 20 percent or more of the total combined voting power of all classes of stock entitled to vote of each of the corporations (except the taxpayer) is owned directly by one or more of the other corporations, and (B) the taxpayer owns directly 20 percent or more of the total combined voting power of all classes of stock entitled to vote, of at least one of the other corporations."
controlled group,title-26_subtitle-A_chapter-1_subchapter-N_part-IV_subpart-A_section-993_subsection-a,meaning assigned to
controlled group,title-26_subtitle-A_chapter-1_subchapter-R_section-1355_subsection-a,means any group which would be treated as a single employer under subsection (a) or (b) of section 52 if paragraphs (1) and (2) of section 52(a) did not apply.
controlled group,title-26_subtitle-D_chapter-43_section-4971_subsection-e,"means any group treated as a single employer under subsection (b), (c), (m), or (o) of section 414."
controlled group,title-26_subtitle-E_chapter-51_subchapter-A_part-I_subpart-A_section-5001_subsection-c,"meaning given such term by subsection (a) of section 1563, except that ""more than 50 percent"" shall be substituted for ""at least 80 percent"" each place it appears in such subsection."
controlled group,title-26_subtitle-E_chapter-51_subchapter-A_part-I_subpart-D_section-5051_subsection-a,"meaning assigned to it by subsection (a) of section 1563, except that for such purposes the phrase ""more than 50 percent"" shall be substituted for the phrase ""at least 80 percent"" in each place it appears in such subsection."
controlled group,title-26_subtitle-E_chapter-51_subchapter-A_part-I_subpart-D_section-5051_subsection-a,meaning given such term under subparagraph (A).
qualified trade or business,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-199A_subsection-d,"means any trade or business other than— (A) a specified service trade or business, or (B) the trade or business of performing services as an employee."
qualified trade or business,title-26_subtitle-A_chapter-1_subchapter-C_part-I_subpart-A_section-302_subsection-e,"means any trade or business which— (A) was actively conducted throughout the 5-year period ending on the date of the redemption, and (B) was not acquired by the corporation within such period in a transaction in which gain or loss was recognized in whole or in part."
qualified trade or business,title-26_subtitle-A_chapter-1_subchapter-P_part-I_section-1202_subsection-e,"means any trade or business other than— (A) any trade or business involving the performance of services in the fields of health, law, engineering, architecture, accounting, actuarial science, performing arts, consulting, athletics, financial services, brokerage services, or any trade or business where the principal asset of such trade or business is the reputation or skill of 1 or more of its employees, (B) any banking, insurance, financing, leasing, investing, or similar business, (C) any farming business (including the business of raising or harvesting trees), (D) any business involving the production or extraction of products of a character with respect to which a deduction is allowable under section 613 or 613A, and (E) any business of operating a hotel, motel, restaurant, or similar business."
ineligible corporation,title-26_subtitle-A_chapter-1_subchapter-S_part-I_section-1361_subsection-b,"means any corporation which is— (A) a financial institution which uses the reserve method of accounting for bad debts described in section 585, (B) an insurance company subject to tax under subchapter L, or (C) a DISC or former DISC."
debt management plan services,title-26_subtitle-A_chapter-1_subchapter-F_part-I_section-501_subsection-q,"means services related to the repayment, consolidation, or restructuring of a consumer's debt, and includes the negotiation with creditors of lower interest rates, the waiver or reduction of fees, and the marketing and processing of debt management plans."
real property trade or business,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-469_subsection-c,"means any real property development, redevelopment, construction, reconstruction, acquisition, conversion, rental, operation, management, leasing, or brokerage trade or business."
electing small business trust,title-26_subtitle-A_chapter-1_subchapter-J_part-I_subpart-A_section-641_subsection-c,meaning given such term by section 1361(e)(1).
electing small business trust,title-26_subtitle-A_chapter-1_subchapter-S_part-I_section-1361_subsection-e,"means any trust if— (i) such trust does not have as a beneficiary any person other than (I) an individual, (II) an estate, (III) an organization described in paragraph (2), (3), (4), or (5) of section 170(c), or (IV) an organization described in section 170(c)(1) which holds a contingent interest in such trust and is not a potential current beneficiary, (ii) no interest in such trust was acquired by purchase, and (iii) an election under this subsection applies to such trust."
electing small business trust,title-26_subtitle-A_chapter-1_subchapter-S_part-I_section-1361_subsection-e,"shall not include— (i) any qualified subchapter S trust (as defined in subsection (d)(3)) if an election under subsection (d)(2) applies to any corporation the stock of which is held by such trust, (ii) any trust exempt from tax under this subtitle, and (iii) any charitable remainder annuity trust or charitable remainder unitrust (as defined in section 664(d))."
export trade corporation,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-G_section-971_subsection-a,"means— (1) In general A controlled foreign corporation (as defined in section 957) which satisfies the following conditions: (A) 90 percent or more of the gross income of such corporation for the 3–year period immediately preceding the close of the taxable year (or such part of such period subsequent to the effective date of this subpart during which the corporation was in existence) was derived from sources without the United States, and (B) 75 percent or more of the gross income of such corporation for such period constituted gross income in respect of which such corporation derived export trade income."
specified 10-percent owned foreign corporation,title-26_subtitle-A_chapter-1_subchapter-B_part-VIII_section-245A_subsection-b,means any foreign corporation with respect to which any domestic corporation is a United States shareholder with respect to such corporation.
listed transaction,title-26_subtitle-D_chapter-42_subchapter-F_section-4965_subsection-e,meaning given such term by section 6707A(c)(2).
listed transaction,title-26_subtitle-F_chapter-68_subchapter-B_part-I_section-6707A_subsection-c,"means a reportable transaction which is the same as, or substantially similar to, a transaction specifically identified by the Secretary as a tax avoidance transaction for purposes of section 6011."
net accounts receivable,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-965_subsection-c,"means, with respect to any specified foreign corporation, the excess (if any) of— (i) such corporation's accounts receivable, over (ii) such corporation's accounts payable (determined consistent with the rules of section 461)."
qualified program,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-143_subsection-k,"means any governmental program providing mortgage loans (other than 1st mortgage loans) or grants— (i) which restricts (throughout the 9-year period beginning on the date the financing is provided) the resale of the residence to a purchaser qualifying under this section and to a price determined by an index that reflects less than the full amount of any appreciation in the residence's value, or (ii) which provides for deferred or reduced interest payments on such financing and grants the governmental unit a share in the appreciation of the residence, (11) Special rules for residences located in disaster areas In the case of a residence located in an area determined by the President to warrant assistance from the Federal Government under the Robert T."
medical care,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-139D_subsection-c,meaning as when used in section 213.
medical care,title-26_subtitle-A_chapter-1_subchapter-B_part-VII_section-213_subsection-d,"means amounts paid— (A) for the diagnosis, cure, mitigation, treatment, or prevention of disease, or for the purpose of affecting any structure or function of the body, (B) for transportation primarily for and essential to medical care referred to in subparagraph (A), (C) for qualified long-term care services (as defined in section 7702B(c)), or (D) for insurance (including amounts paid as premiums under part B of title XVIII of the Social Security Act, relating to supplementary medical insurance for the aged) covering medical care referred to in subparagraphs (A) and (B) or for any qualified long-term care insurance contract (as defined in section 7702B(b))."
medical care,title-26_subtitle-A_chapter-1_subchapter-B_part-VII_section-213_subsection-d,"does not include cosmetic surgery or other similar procedures, unless the surgery or procedure is necessary to ameliorate a deformity arising from, or directly related to, a congenital abnormality, a personal injury resulting from an accident or trauma, or disfiguring disease."
medical care,title-26_subtitle-K_chapter-100_subchapter-C_section-9832_subsection-d,"meaning given such term by section 213(d) determined without regard to— (A) paragraph (1)(C) thereof, and (B) so much of paragraph (1)(D) thereof as relates to qualified long-term care insurance."
electing farming business,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-163_subsection-j,"means— (i) a farming business (as defined in section 263A(e)(4)) which makes an election under this subparagraph, or (ii) any trade or business of a specified agricultural or horticultural cooperative (as defined in section 199A(g)(2)) 1 with respect to which the cooperative makes an election under this subparagraph."
tax-exempt entity,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-168_subsection-h,"means— (i) the United States, any State or political subdivision thereof, any possession of the United States, or any agency or instrumentality of any of the foregoing, (ii) an organization (other than a cooperative described in section 521) which is exempt from tax imposed by this chapter, (iii) any foreign person or entity, and (iv) any Indian tribal government described in section 7701(a)(40)."
tax-exempt entity,title-26_subtitle-D_chapter-42_subchapter-F_section-4965_subsection-c,"means an entity which is— (1) described in section 501(c) or 501(d), (2) described in section 170(c) (other than the United States), (3) an Indian tribal government (within the meaning of section 7701(a)(40)), (4) described in paragraph (1), (2), or (3) of section 4979(e), (5) a program described in section 529, (6) an eligible deferred compensation plan described in section 457(b) which is maintained by an employer described in section 457(e)(1)(A), (7) an arrangement described in section 4973(a), or (8) a program described in section 529A."
certified professional employer organization,title-26_subtitle-F_chapter-79_section-7705_subsection-a,means a person who applies to be treated as a certified professional employer organization for purposes of section 3511 and has been certified by the Secretary as meeting the requirements of subsection (b).
eligible worker-owned cooperative,title-26_subtitle-A_chapter-1_subchapter-O_part-III_section-1042_subsection-c,"means any organization— (A) to which part I of subchapter T applies, (B) a majority of the membership of which is composed of employees of such organization, (C) a majority of the voting stock of which is owned by members, (D) a majority of the board of directors of which is elected by the members on the basis of 1 person 1 vote, and (E) a majority of the allocated earnings and losses of which are allocated to members on the basis of— (i) patronage, (ii) capital contributions, or (iii) some combination of clauses (i) and (ii)."
eligible worker-owned cooperative,title-26_subtitle-D_chapter-43_section-4978_subsection-e,meaning given to such term by section 1042(c)(2).
qualified rehabilitated building,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-E_section-47_subsection-c,"means any building (and its structural components) if— (i) such building has been substantially rehabilitated, (ii) such building was placed in service before the beginning of the rehabilitation, (iii) such building is a certified historic structure, and (iv) depreciation (or amortization in lieu of depreciation) is allowable with respect to such building."
covered executive branch official,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-162_subsection-e,"means— (A) the President, (B) the Vice President, (C) any officer or employee of the White House Office of the Executive Office of the President, and the 2 most senior level officers of each of the other agencies in such Executive Office, and (D)(i) any individual serving in a position in level I of the Executive Schedule under section 5312 of title 5, United States Code, (ii) any other individual designated by the President as having Cabinet level status, and (iii) any immediate deputy of an individual described in clause (i) or (ii)."
insurance policy,title-26_subtitle-D_chapter-34_subchapter-B_section-4377_subsection-a,"means any policy or other instrument whereby a contract of insurance is issued, renewed, or extended."
fishing business,title-26_subtitle-A_chapter-1_subchapter-Q_part-I_section-1301_subsection-b,means the conduct of commercial fishing as defined in section 3 of the Magnuson-Stevens Fishery Conservation and Management Act (16 U.
qualified mortgage insurance,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-163_subsection-h,"means— (i) mortgage insurance provided by the Department of Veterans Affairs, the Federal Housing Administration, or the Rural Housing Service, and (ii) private mortgage insurance (as defined by section 2 of the Homeowners Protection Act of 1998 (12 U."
pass-thru entity,title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-h,means— (A) a regulated investment company; (B) a real estate investment trust; (C) an S corporation; (D) a partnership; (E) an estate or trust; (F) a common trust fund; and (G) a qualified electing fund (as defined in section 1295).
pass-thru entity,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-267_subsection-e,"means— (A) a partnership, and (B) an S corporation."
pass-thru entity,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-460_subsection-b,"means any— (I) partnership, (II) S corporation, or (III) trust."
pass-thru entity,title-26_subtitle-A_chapter-1_subchapter-M_part-IV_section-860E_subsection-e,"means— (i) any regulated investment company, real estate investment trust, or common trust fund, (ii) any partnership, trust, or estate, and (iii) any organization to which part I of subchapter T applies."
pass-thru entity,title-26_subtitle-A_chapter-1_subchapter-P_part-I_section-1202_subsection-g,"means— (A) any partnership, (B) any S corporation, (C) any regulated investment company, and (D) any common trust fund."
pass-thru entity,title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1260_subsection-c,"means— (A) a regulated investment company, (B) a real estate investment trust, (C) an S corporation, (D) a partnership, (E) a trust, (F) a common trust fund, (G) a passive foreign investment company (as defined in section 1297 without regard to subsection (d) thereof), and (H) a REMIC."
pass-thru entity,title-26_subtitle-A_chapter-1_subchapter-P_part-V_subpart-C_section-1281_subsection-b,"means any partnership, S corporation, trust, or other pass-thru entity."
farming business,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-263A_subsection-e,means the trade or business of farming.
farming business,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-263A_subsection-e,"shall include the trade or business of— (i) operating a nursery or sod farm, or (ii) the raising or harvesting of trees bearing fruit, nuts, or other crops, or ornamental trees."
farming business,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-A_section-448_subsection-d,means the trade or business of farming (within the meaning of section 263A(e)(4)).
farming business,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-A_section-448_subsection-d,"includes the raising, harvesting, or growing of trees to which section 263A(c)(5) applies."
farming business,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-461_subsection-j,meaning given such term in section 263A(e)(4).
farming business,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-461_subsection-j,"shall include any trade or business of the taxpayer of the processing of such commodity (without regard to whether the processing is incidental to the growing, raising, or harvesting of such commodity), and (II) if the taxpayer is a member of a cooperative to which subchapter T applies, any trade or business of the cooperative described in subclause (I) shall be treated as the trade or business of the taxpayer."
farming business,title-26_subtitle-A_chapter-1_subchapter-Q_part-I_section-1301_subsection-b,meaning given such term by section 263A(e)(4).
audited partnership,title-26_subtitle-F_chapter-63_subchapter-C_part-II_section-6226_subsection-b,"means, with respect to any partner described in subparagraph (A), the partnership in the chain of ownership originally electing the application of this section."
qualified foreign corporation,title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-h,"means any foreign corporation if— (I) such corporation is incorporated in a possession of the United States, or (II) such corporation is eligible for benefits of a comprehensive income tax treaty with the United States which the Secretary determines is satisfactory for purposes of this paragraph and which includes an exchange of information program."
qualified foreign corporation,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-D_section-934_subsection-b,"means any foreign corporation if less than 10 percent of— (i) the total voting power of the stock of such corporation, and (ii) the total value of the stock of such corporation, is owned or treated as owned (within the meaning of section 958) by 1 or more United States persons."
qualified military service,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-u,"means any service in the uniformed services (as defined in chapter 43 of title 38, United States Code) by any individual if such individual is entitled to reemployment rights under such chapter with respect to such service."
personal holding company,title-26_subtitle-A_chapter-1_subchapter-G_part-II_section-542_subsection-a,"means any corporation (other than a corporation described in subsection (c)) if— (1) Adjusted ordinary gross income requirement At least 60 percent of its adjusted ordinary gross income (as defined in section 543(b)(2)) for the taxable year is personal holding company income (as defined in section 543(a)), and (2) Stock ownership requirement At any time during the last half of the taxable year more than 50 percent in value of its outstanding stock is owned, directly or indirectly, by or for not more than 5 individuals."
personal holding company,title-26_subtitle-A_chapter-1_subchapter-G_part-II_section-542_subsection-c,"meaning of section 7701(a)(19); (3) a life insurance company; (4) a surety company; (5) a foreign corporation; (6) a lending or finance company if— (A) 60 percent or more of its ordinary gross income (as defined in section 543(b)(1)) is derived directly from the active and regular conduct of a lending or finance business; (B) the personal holding company income for the taxable year (computed without regard to income described in subsection (d)(3) and income derived directly from the active and regular conduct of a lending or finance business, and computed by including as personal holding company income the entire amount of the gross income from rents, royalties, produced film rents, and compensation for use of corporate property by shareholders) is not more than 20 percent of the ordinary gross income; (C) the sum of the deductions which are directly allocable to the active and regular conduct of its lending or finance business equals or exceeds the sum of— (i) 15 percent of so much of the ordinary gross income derived therefrom as does not exceed $500,000, plus (ii) 5 percent of so much of the ordinary gross income derived therefrom as exceeds $500,000; and (D) the loans to a person who is a shareholder in such company during the taxable year by or for whom 10 percent or more in value of its outstanding stock is owned directly or indirectly (including, in the case of an individual, stock owned by members of his family as defined in section 544(a)(2)), outstanding at any time during such year do not exceed $5,000 in principal amount; (7) a small business investment company which is licensed by the Small Business Administration and operating under the Small Business Investment Act of 1958 (15 U."
designated beneficiary,title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-72_subsection-s,means any individual designated a beneficiary by the holder of the contract.
designated beneficiary,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-a,means any individual designated as a beneficiary by the employee.
designated beneficiary,title-26_subtitle-A_chapter-1_subchapter-F_part-VIII_section-529_subsection-e,"means— (A) the individual designated at the commencement of participation in the qualified tuition program as the beneficiary of amounts paid (or to be paid) to the program, (B) in the case of a change in beneficiaries described in subsection (c)(3)(C), the individual who is the new beneficiary, and (C) in the case of an interest in a qualified tuition program purchased by a State or local government (or agency or instrumentality thereof) or an organization described in section 501(c)(3) and exempt from taxation under section 501(a) as part of a scholarship program operated by such government or organization, the individual receiving such interest as a scholarship."
designated beneficiary,title-26_subtitle-A_chapter-1_subchapter-F_part-VIII_section-529A_subsection-e,means the eligible individual who established an ABLE account and is the owner of such account.
related persons,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-n,meaning as when used in section 144(a)(3).
related persons,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-453_subsection-g,"meaning given to such term by section 1239(b), except that such term shall include 2 or more partnerships having a relationship to each other described in section 707(b)(1)(B)."
related persons,title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1239_subsection-b,"means— (1) a person and all entities which are controlled entities with respect to such person, (2) a taxpayer and any trust in which such taxpayer (or his spouse) is a beneficiary, unless such beneficiary's interest in the trust is a remote contingent interest (within the meaning of section 318(a)(3)(B)(i)), and (3) except in the case of a sale or exchange in satisfaction of a pecuniary bequest, an executor of an estate and a beneficiary of such estate."
qualified personal service corporation,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-A_section-448_subsection-d,"means any corporation— (A) substantially all of the activities of which involve the performance of services in the fields of health, law, engineering, architecture, accounting, actuarial science, performing arts, or consulting, and (B) substantially all of the stock of which (by value) is held directly (or indirectly through 1 or more partnerships, S corporations, or qualified personal service corporations not described in paragraph (2) or (3) of subsection (a)) by— (i) employees performing services for such corporation in connection with the activities involving a field referred to in subparagraph (A), (ii) retired employees who had performed such services for such corporation, (iii) the estate of any individual described in clause (i) or (ii), or (iv) any other person who acquired such stock by reason of the death of an individual described in clause (i) or (ii) (but only for the 2-year period beginning on the date of the death of such individual)."
commercial-type insurance,title-26_subtitle-A_chapter-1_subchapter-F_part-I_section-501_subsection-m,"includes annuities For purposes of this subsection, the issuance of annuity contracts shall be treated as providing insurance."
qualified securities,title-26_subtitle-A_chapter-1_subchapter-O_part-III_section-1042_subsection-c,"means employer securities (as defined in section 409(l)) which— (A) are issued by a domestic C corporation that has no stock outstanding that is readily tradable on an established securities market, and (B) were not received by the taxpayer in— (i) a distribution from a plan described in section 401(a), or (ii) a transfer pursuant to an option or other right to acquire stock to which section 83, 422, or 423 applied (or to which section 422 or 424 (as in effect on the day before the date of the enactment of the Revenue Reconciliation Act of 1990) applied)."
qualified securities,title-26_subtitle-D_chapter-43_section-4978_subsection-e,meaning given to such term by section 1042(c)(1); except that such section shall be applied without regard to subparagraph (B) thereof for purposes of applying this section and section 4979A with respect to securities acquired in a qualified gratuitous transfer (as defined in section 664(g)(1)).
expanded affiliated group,title-26_subtitle-A_chapter-1_subchapter-A_part-VII_section-59A_subsection-d,meaning given such term by section 7874(c)(1).
expanded affiliated group,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-162_subsection-r,"means an affiliated group as defined in section 1504(a), determined— (I) by substituting ""more than 50 percent"" for ""at least 80 percent"" each place it appears, and (II) without regard to paragraphs (2) and (3) of section 1504(b)."
expanded affiliated group,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-199A_subsection-g,"means an affiliated group as defined in section 1504(a), determined— (I) by substituting ""more than 50 percent"" for ""at least 80 percent"" each place it appears, and (II) without regard to paragraphs (2) and (4) of section 1504(b)."
expanded affiliated group,title-26_subtitle-A_chapter-4_section-1471_subsection-e,"means an affiliated group as defined in section 1504(a), determined— (A) by substituting ""more than 50 percent"" for ""at least 80 percent"" each place it appears, and (B) without regard to paragraphs (2) and (3) of section 1504(b)."
expanded affiliated group,title-26_subtitle-D_chapter-45_section-4985_subsection-e,"means an affiliated group (as defined in section 1504(a) without regard to section 1504(b)(3)); except that section 1504(a) shall be applied by substituting ""more than 50 percent"" for ""at least 80 percent"" each place it appears."
expanded affiliated group,title-26_subtitle-F_chapter-80_subchapter-C_section-7874_subsection-c,"means an affiliated group as defined in section 1504(a) but without regard to section 1504(b)(3), except that section 1504(a) shall be applied by substituting ""more than 50 percent"" for ""at least 80 percent"" each place it appears."
affiliated group of corporations,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-465_subsection-c,means an affiliated group (as defined in section 1504(a)) which files or is required to file consolidated income tax returns.
parent-subsidiary controlled group,title-26_subtitle-A_chapter-1_subchapter-H_part-I_section-585_subsection-c,means any controlled group of corporations described in section 1563(a)(1).
parent-subsidiary controlled group,title-26_subtitle-A_chapter-1_subchapter-P_part-I_section-1202_subsection-d,"means any controlled group of corporations as defined in section 1563(a)(1), except that— (i) ""more than 50 percent"" shall be substituted for ""at least 80 percent"" each place it appears in section 1563(a)(1), and (ii) section 1563(a)(4) shall not apply."
qualified farming trade or business,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-A_section-447_subsection-e,"means the trade or business of farming— (I) sugar cane, (II) any plant with a preproductive period (as defined in section 263A(e)(3)) of 2 years or less, and (III) any other plant (other than any citrus or almond tree) if an election by the corporation under this subparagraph is in effect."
related foreign person,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-163_subsection-e,"means any person— (i) who is not a United States person, and (ii) who is related (within the meaning of section 267(b)) to the issuer."
student,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-A_section-21_subsection-e,means an individual who during each of 5 calendar months during the taxable year is a full-time student at an educational organization.
student,title-26_subtitle-A_chapter-1_subchapter-B_part-V_section-152_subsection-f,"means an individual who during each of 5 calendar months during the calendar year in which the taxable year of the taxpayer begins— (A) is a full-time student at an educational organization described in section 170(b)(1)(A)(ii), or (B) is pursuing a full-time course of institutional on-farm training under the supervision of an accredited agent of an educational organization described in section 170(b)(1)(A)(ii) or of a State or political subdivision of a State."
student,title-26_subtitle-F_chapter-79_section-7701_subsection-b,"means any individual— (i) who is temporarily present in the United States— (I) under subparagraph (F) or (M) of section 101(15) of the Immigration and Nationality Act, or (II) as a student under subparagraph (J) or (Q) of such section 101(15), and (ii) who substantially complies with the requirements for being so present."
qualified return preparation program,title-26_subtitle-F_chapter-77_section-7526A_subsection-e,"means any program— (A) which provides assistance to individuals, not less than 90 percent of whom are applicable taxpayers, in preparing and filing Federal income tax returns, (B) which is administered by a qualified entity, (C) in which all volunteers who assist in the preparation of Federal income tax returns meet the training requirements prescribed by the Secretary, and (D) which uses a quality review process which reviews 100 percent of all returns."
qualified small issuer,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-265_subsection-b,"means, with respect to obligations issued during any calendar year, any issuer if the reasonably anticipated amount of tax-exempt obligations (other than obligations described in clause (ii)) which will be issued by such issuer during such calendar year does not exceed $10,000,000."
qualified appraiser,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-170_subsection-f,"means an individual who— (I) has earned an appraisal designation from a recognized professional appraiser organization or has otherwise met minimum education and experience requirements set forth in regulations prescribed by the Secretary, (II) regularly performs appraisals for which the individual receives compensation, and (III) meets such other requirements as may be prescribed by the Secretary in regulations or other guidance."
qualified appraiser,title-26_subtitle-F_chapter-68_subchapter-A_part-II_section-6664_subsection-c,meaning given such term by section 170(f)(11)(E)(ii).
nonresident,title-26_subtitle-A_chapter-1_subchapter-N_part-I_section-865_subsection-g,means any person other than a United States resident.
election,title-26_subtitle-A_chapter-1_subchapter-F_part-VI_section-527_subsection-j,"means— (A) a general, special, primary, or runoff election for a Federal office, (B) a convention or caucus of a political party which has authority to nominate a candidate for Federal office, (C) a primary election held for the selection of delegates to a national nominating convention of a political party, or (D) a primary election held for the expression of a preference for the nomination of individuals for election to the office of President."
qualified business unit,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-954_subsection-h,meaning given such term by section 989(a).
qualified business unit,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-J_section-989_subsection-a,means any separate and clearly identified unit of a trade or business of a taxpayer which maintains separate books and records.
