term,index,definition
publicly held corporation,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-162_subsection-m,means any corporation which is an issuer (as defined in section 3 of the Securities Exchange Act of 1934 (15 U.
qualified opportunity zone stock,title-26_subtitle-A_chapter-1_subchapter-Z_section-1400Z_subsection-d,"means any stock in a domestic corporation if— (I) such stock is acquired by the qualified opportunity fund after December 31, 2017, at its original issue (directly or through an underwriter) from the corporation solely in exchange for cash, (II) as of the time such stock was issued, such corporation was a qualified opportunity zone business (or, in the case of a new corporation, such corporation was being organized for purposes of being a qualified opportunity zone business), and (III) during substantially all of the qualified opportunity fund's holding period for such stock, such corporation qualified as a qualified opportunity zone business."
qualifying vessel,title-26_subtitle-A_chapter-1_subchapter-R_section-1355_subsection-a,"means a self-propelled (or a combination self-propelled and non-self-propelled) United States flag vessel of not less than 6,000 deadweight tons used exclusively in the United States foreign trade during the period that the election under this subchapter is in effect."
enrolled actuary,title-26_subtitle-F_chapter-79_section-7701_subsection-a,means a person who is enrolled by the Joint Board for the Enrollment of Actuaries established under subtitle C of the title III of the Employee Retirement Income Security Act of 1974.
academic health center,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-119_subsection-d,"means an entity— (i) which is described in section 170(b)(1)(A)(iii), (ii) which receives (during the calendar year in which the taxable year of the taxpayer begins) payments under subsection (d)(5)(B) or (h) of section 1886 of the Social Security Act (relating to graduate medical education), and (iii) which has as one of its principal purposes or functions the providing and teaching of basic and clinical medical science and research with the entity's own faculty."
qualified nonguaranteed contract,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-D_section-419_subsection-e,"means any insurance contract (including a reasonable premium stabilization reserve held thereunder) if— (I) there is no guarantee of a renewal of such contract, and (II) other than insurance protection, the only payments to which the employer or employees are entitled are experience rated refunds or policy dividends which are not guaranteed and which are determined by factors other than the amount of welfare benefits paid to (or on behalf of) the employees of the employer or their beneficiaries."
rent-to-own dealer,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-168_subsection-i,"means a person that, in the ordinary course of business, regularly enters into rent-to-own contracts with customers for the use of consumer property, if a substantial portion of those contracts terminate and the property is returned to such person before the receipt of all payments required to transfer ownership of the property from such person to the customer."
metropolitan statistical area,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-42_subsection-d,"meaning as when used in section 143(k)(2)(B), and (IV)"
metropolitan statistical area,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-143_subsection-k,includes the area defined as such by the Secretary of Commerce.
eligible person,title-26_subtitle-A_chapter-1_subchapter-O_part-III_section-1043_subsection-b,"means— (A) an officer or employee of the executive branch, or a judicial officer, of the Federal Government, but does not mean a special Government employee as defined in section 202 of title 18, United States Code, and (B) any spouse or minor or dependent child whose ownership of any property is attributable under any statute, regulation, rule, judicial canon, or executive order referred to in paragraph (2) to a person referred to in subparagraph (A)."
transportation fuel,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45Z_subsection-d,"means a fuel which— (i) is suitable for use as a fuel in a highway vehicle or aircraft, (ii) has an emissions rate which is not greater than 50 kilograms of CO2e per mmBTU, and (iii) is not derived from coprocessing an applicable material (or materials derived from an applicable material) with a feedstock which is not biomass."
records,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-A_section-6038A_subsection-c,"includes any books, papers, or other data."
records,title-26_subtitle-F_chapter-78_subchapter-A_section-7609_subsection-c,"includes books, papers, and other data."
affiliated group,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-132_subsection-j,meaning given such term by section 1504(a).
affiliated group,title-26_subtitle-A_chapter-1_subchapter-B_part-VIII_section-243_subsection-b,"meaning given such term by section 1504(a), except that for such purposes sections 1504(b)(2) and 1504(c) shall not apply."
affiliated group,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-279_subsection-g,"meaning assigned to such term by section 1504(a), except that all corporations other than the acquired corporation shall be treated as includible corporations (without any exclusion under section 1504(b)) and the acquired corporation shall not be treated as an includible corporation."
affiliated group,title-26_subtitle-A_chapter-1_subchapter-C_part-I_subpart-A_section-304_subsection-b,meaning given such term by section 1504(a).
affiliated group,title-26_subtitle-A_chapter-1_subchapter-C_part-II_subpart-A_section-332_subsection-d,meaning given such term by section 1504(a) (without regard to paragraph (2) of section 1504(b)).
affiliated group,title-26_subtitle-A_chapter-1_subchapter-C_part-II_subpart-B_section-338_subsection-h,meaning given to such term by section 1504(a) (determined without regard to the exceptions contained in section 1504(b)).
affiliated group,title-26_subtitle-A_chapter-1_subchapter-G_part-II_section-543_subsection-d,meaning given such term by section 1504(a).
affiliated group,title-26_subtitle-A_chapter-1_subchapter-H_part-II_section-593_subsection-d,"meaning assigned to such term by section 1504(a); except that (i) the phrase ""more than 50 percent"" shall be substituted for the phrase ""at least 80 percent"" each place it appears in section 1504(a), and (ii) all corporations shall be treated as includible corporations (without any exclusion under section 1504(b))."
affiliated group,title-26_subtitle-A_chapter-1_subchapter-N_part-I_section-864_subsection-e,meaning given such term by section 1504.
affiliated group,title-26_subtitle-A_chapter-6_subchapter-A_section-1504_subsection-a,"means— (A) 1 or more chains of includible corporations connected through stock ownership with a common parent corporation which is an includible corporation, but only if— (B)(i) the common parent owns directly stock meeting the requirements of paragraph (2) in at least 1 of the other includible corporations, and (ii) stock meeting the requirements of paragraph (2) in each of the includible corporations (except the common parent) is owned directly by 1 or more of the other includible corporations."
affiliated group,title-26_subtitle-D_chapter-33_subchapter-C_part-III_section-4282_subsection-c,"meaning assigned to such term by section 1504(a), except that all corporations shall be treated as includible corporations (without any exclusion under section 1504(b))."
indoor tanning service,title-26_subtitle-D_chapter-49_section-5000B_subsection-b,"means a service employing any electronic product designed to incorporate 1 or more ultraviolet lamps and intended for the irradiation of an individual by ultraviolet radiation, with wavelengths in air between 200 and 400 nanometers, to induce skin tanning."
wholesale dealer in beer,title-26_subtitle-E_chapter-51_subchapter-A_part-II_subpart-C_section-5121_subsection-c,"means any dealer who sells, or offers for sale, beer, but not distilled spirits or wines, to another dealer."
term loan,title-26_subtitle-F_chapter-80_subchapter-C_section-7872_subsection-f,means any loan which is not a demand loan.
case,title-26_subtitle-E_chapter-51_subchapter-A_part-I_subpart-A_section-5011_subsection-d,means 12 80-proof 750-milliliter bottles.
custodial parent,title-26_subtitle-A_chapter-1_subchapter-B_part-V_section-152_subsection-e,means the parent having custody for the greater portion of the calendar year.
all other minerals,title-26_subtitle-A_chapter-1_subchapter-I_part-I_section-613_subsection-b,"does not include— (A) soil, sod, dirt, turf, water, or mosses; (B) minerals from sea water, the air, or similar inexhaustible sources; or (C) oil and gas wells."
battery module,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45X_subsection-c,"means a module— (I)(aa) in the case of a module using battery cells, with 2 or more battery cells which are configured electrically, in series or parallel, to create voltage or current, as appropriate, to a specified end use, or (bb) with no battery cells, and (II) with an aggregate capacity of not less than 7 kilowatt-hours (or, in the case of a module for a hydrogen fuel cell vehicle, not less than 1 kilowatt-hour)."
high migration rural county,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45D_subsection-e,"means any county which, during the 20-year period ending with the year in which the most recent census was conducted, has a net out-migration of inhabitants from the county of at least 10 percent of the population of the county at the beginning of such period."
high migration rural county,title-26_subtitle-A_chapter-1_subchapter-U_part-II_section-1394_subsection-b,"means any county which, during the 20-year period ending with the year in which the most recent census was conducted, has a net out-migration of inhabitants from the county of at least 10 percent of the population of the county at the beginning of such period."
qualified fuel cell property,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-E_section-48_subsection-c,means a fuel cell power plant which— (i) has a nameplate capacity of at least 0.
investment assets,title-26_subtitle-A_chapter-1_subchapter-C_part-III_subpart-B_section-355_subsection-g,"means— (I) cash, (II) any stock or securities in a corporation, (III) any interest in a partnership, (IV) any debt instrument or other evidence of indebtedness, (V) any option, forward or futures contract, notional principal contract, or derivative, (VI) foreign currency, or (VII) any similar asset."
commodity,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-D_section-475_subsection-e,"means— (A) any commodity which is actively traded (within the meaning of section 1092(d)(1)); (B) any notional principal contract with respect to any commodity described in subparagraph (A); (C) any evidence of an interest in, or a derivative instrument in, any commodity described in subparagraph (A) or (B), including any option, forward contract, futures contract, short position, and any similar instrument in such a commodity; and (D) any position which— (i) is not a commodity described in subparagraph (A), (B), or (C), (ii) is a hedge with respect to such a commodity, and (iii) is clearly identified in the taxpayer's records as being described in this subparagraph before the close of the day on which it was acquired or entered into (or such other time as the Secretary may by regulations prescribe)."
commodity,title-26_subtitle-D_chapter-43_section-4975_subsection-f,meaning given such term by section 475(e)(2) (without regard to subparagraph (D)(iii) thereof).
high-speed intercity rail facilities,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-142_subsection-i,"means any facility (not including rolling stock) for the fixed guideway rail transportation of passengers and their baggage between metropolitan statistical areas (within the meaning of section 143(k)(2)(B)) using vehicles that are reasonably expected to be capable of attaining a maximum speed in excess of 150 miles per hour between scheduled stops, but only if such facility will be made available to members of the general public as passengers."
authorized person,title-26_subtitle-F_chapter-61_subchapter-B_section-6103_subsection-l,"means, with respect to information disclosed under subparagraph (A), (B), or (C), any person who— (i) is an officer, employee, or contractor, of the Department of Education, and (ii) is specifically authorized and designated by the Secretary of Education for purposes of such subparagraph (applied separately with respect to each such subparagraph)."
authorized person,title-26_subtitle-F_chapter-61_subchapter-B_section-6109_subsection-g,"means an officer or employee of an insurer whom the Manager of the Corporation designates by rule, subject to appropriate safeguards including a prohibition against the release of such social security account numbers (other than to the Corporations) by such person."
shareholder,title-26_subtitle-A_chapter-1_subchapter-C_part-I_subpart-A_section-305_subsection-d,includes a holder of rights or of convertible securities.
shareholder,title-26_subtitle-F_chapter-79_section-7701_subsection-a,"includes a member in an association, joint-stock company, or insurance company."
applicable defined contribution plan,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-a,means any defined contribution plan which holds any publicly traded employer securities.
applicable defined contribution plan,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-x,means a defined contribution plan which includes a qualified cash or deferred arrangement.
political subdivision,title-26_subtitle-C_chapter-21_subchapter-C_section-3121_subsection-j,"includes an instrumentality of— (i) a State, (ii) one or more political subdivisions of a State, or (iii) a State and one or more of its political subdivisions."
student loan,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-108_subsection-f,"means any loan to an individual to assist the individual in attending an educational organization described in section 170(b)(1)(A)(ii) made by— (A) the United States, or an instrumentality or agency thereof, (B) a State, territory, or possession of the United States, or the District of Columbia, or any political subdivision thereof, (C) a public benefit corporation— (i) which is exempt from taxation under section 501(c)(3), (ii) which has assumed control over a State, county, or municipal hospital, and (iii) whose employees have been deemed to be public employees under State law, or (D) any educational organization described in section 170(b)(1)(A)(ii) if such loan is made— (i) pursuant to an agreement with any entity described in subparagraph (A), (B), or (C) under which the funds from which the loan was made were provided to such educational organization, or (ii) pursuant to a program of such educational organization which is designed to encourage its students to serve in occupations with unmet needs or in areas with unmet needs and under which the services provided by the students (or former students) are for or under the direction of a governmental unit or an organization described in section 501(c)(3) and exempt from tax under section 501(a)."
water utility property,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-168_subsection-e,"means property— (A) which is an integral part of the gathering, treatment, or commercial distribution of water, and which, without regard to this paragraph, would be 20-year property, and (B) any municipal sewer."
solar module,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45X_subsection-c,"means the connection and lamination of photovoltaic cells into an environmentally protected final assembly which is— (I) suitable to generate electricity when exposed to sunlight, and (II) ready for installation without an additional manufacturing process."
qualified low-income community investment,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45D_subsection-d,"means— (A) any capital or equity investment in, or loan to, any qualified active low-income community business, (B) the purchase from another qualified community development entity of any loan made by such entity which is a qualified low-income community investment, (C) financial counseling and other services specified in regulations prescribed by the Secretary to businesses located in, and residents of, low-income communities, and (D) any equity investment in, or loan to, any qualified community development entity."
transferee's agent,title-26_subtitle-A_chapter-3_subchapter-A_section-1445_subsection-d,"means any person who represents the transferee— (A) in any negotiation with the transferor or any transferor's agent related to the transaction, or (B) in settling the transaction."
ton,title-26_subtitle-D_chapter-32_subchapter-B_section-4121_subsection-d,"means 2,000 pounds."
ton,title-26_subtitle-D_chapter-38_subchapter-B_section-4662_subsection-a,"means 2,000 pounds."
ton,title-26_subtitle-D_chapter-38_subchapter-B_section-4662_subsection-a,"means the amount of such gas in cubic feet which is the equivalent of 2,000 pounds on a molecular weight basis."
petroleum residue,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-E_section-48B_subsection-c,means the carbonized product of high-boiling hydrocarbon fractions obtained in petroleum processing.
petroleum residue,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-142_subsection-o,means the carbonized product of high-boiling hydrocarbon fractions obtained in petroleum processing.
fiduciary,title-26_subtitle-D_chapter-43_section-4975_subsection-e,"means any person who— (A) exercises any discretionary authority or discretionary control respecting management of such plan or exercises any authority or control respecting management or disposition of its assets, (B) renders investment advice for a fee or other compensation, direct or indirect, with respect to any moneys or other property of such plan, or has any authority or responsibility to do so, or (C) has any discretionary authority or discretionary responsibility in the administration of such plan."
fiduciary,title-26_subtitle-F_chapter-79_section-7701_subsection-a,"means a guardian, trustee, executor, administrator, receiver, conservator, or any person acting in any fiduciary capacity for any person."
government official,title-26_subtitle-D_chapter-42_subchapter-A_section-4946_subsection-c,"means, with respect to an act of self-dealing described in section 4941, an individual who, at the time of such act, holds any of the following offices or positions (other than as a ""special Government employee"", as defined in section 202(a) of title 18, United States Code): (1) an elective public office in the executive or legislative branch of the Government of the United States, (2) an office in the executive or judicial branch of the Government of the United States, appointment to which was made by the President, (3) a position in the executive, legislative, or judicial branch of the Government of the United States— (A) which is listed in schedule C of rule VI of the Civil Service Rules, or (B) the compensation for which is equal to or greater than the lowest rate of basic pay for the Senior Executive Service under section 5382 of title 5, United States Code, (4) a position under the House of Representatives or the Senate of the United States held by an individual receiving gross compensation at an annual rate of $15,000 or more, (5) an elective or appointive public office in the executive, legislative, or judicial branch of the government of a State, possession of the United States, or political subdivision or other area of any of the foregoing, or of the District of Columbia, held by an individual receiving gross compensation at an annual rate of $20,000 or more, (6) a position as personal or executive assistant or secretary to any of the foregoing, or (7) a member of the Internal Revenue Service Oversight Board."
employee stock purchase plan,title-26_subtitle-A_chapter-1_subchapter-D_part-II_section-423_subsection-b,means a plan which meets the following requirements: (1) the plan provides that options are to be granted only to employees of the employer corporation or of its parent or subsidiary corporation to purchase stock in any such corporation; (2) such plan is approved by the stockholders of the granting corporation within 12 months before or after the date such plan is adopted; (3) under
deferred foreign income corporation,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-965_subsection-d,"means, with respect to any United States shareholder, any specified foreign corporation of such United States shareholder which has accumulated post-1986 deferred foreign income (as of the date referred to in paragraph (1) or (2) of subsection (a)) greater than zero."
sanctioned whaling activities,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-170_subsection-n,means subsistence bowhead whale hunting activities conducted pursuant to the management plan of the Alaska Eskimo Whaling Commission.
eligible employer,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45E_subsection-c,meaning given such term by section 408(p)(2)(C)(i).
eligible employer,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45N_subsection-c,means any taxpayer which employs individuals as miners in underground mines in the United States.
eligible employer,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45S_subsection-c,"means any employer who has in place a written policy that meets the following requirements: (A) The policy provides— (i) in the case of a qualifying employee who is not a part-time employee (as defined in section 4980E(d)(4)(B)), not less than 2 weeks of annual paid family and medical leave, and (ii) in the case of a qualifying employee who is a part-time employee, an amount of annual paid family and medical leave that is not less than an amount which bears the same ratio to the amount of annual paid family and medical leave that is provided to a qualifying employee described in clause (i) as— (I) the number of hours the employee is expected to work during any week, bears to (II) the number of hours an equivalent qualifying employee described in clause (i) is expected to work during the week."
eligible employer,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45T_subsection-c,meaning given such term in section 408(p)(2)(C)(i).
eligible employer,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-125_subsection-j,"means, with respect to any year, any employer if such employer employed an average of 100 or fewer employees on business days during either of the 2 preceding years."
eligible employer,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-k,"means any employer if the employer does not maintain a qualified plan with respect to which contributions are made, or benefits are accrued, for service in the year for which the determination is being made."
eligible employer,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-403_subsection-b,"means any employer if the employer does not maintain a qualified plan with respect to which contributions are made, or benefits are accrued, for service in the year for which the determination is being made."
eligible employer,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-408_subsection-p,"means, with respect to any year, an employer which had no more than 100 employees who received at least $5,000 of compensation from the employer for the preceding year."
eligible employer,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-457_subsection-e,"means— (A) a State, political subdivision of a State, and any agency or instrumentality of a State or political subdivision of a State, and (B) any other organization (other than a governmental unit) exempt from tax under this subtitle."
eligible employer,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-457_subsection-e,"meaning of section 402(c)(4)), (ii) the employee transfers any portion of the property such employee receives in such distribution to an eligible retirement plan described in section 402(c)(8)(B), and (iii) in the case of a distribution of property other than money, the amount so transferred consists of the property distributed, (B) Certain rules made applicable The rules of paragraphs (2) through (7), (9), and (11) of section 402(c) and section 402(f) shall apply for purposes of subparagraph (A)."
eligible employer,title-26_subtitle-C_chapter-21_subchapter-D_section-3134_subsection-c,"means any employer— (i) which was carrying on a trade or business during the calendar quarter for which the credit is determined under subsection (a), and (ii) with respect to any calendar quarter, for which— (I) the operation of the trade or business described in clause (i) is fully or partially suspended during the calendar quarter due to orders from an appropriate governmental authority limiting commerce, travel, or group meetings (for commercial, social, religious, or other purposes) due to the coronavirus disease 2019 (COVID–19), (II) the gross receipts (within the meaning of section 448(c)) of such employer for such calendar quarter are less than 80 percent of the gross receipts of such employer for the same calendar quarter in calendar year 2019, or (III) the employer is a recovery startup business (as defined in paragraph (5))."
eligible employer,title-26_subtitle-F_chapter-77_section-7528_subsection-b,means an eligible employer (as defined in section 408(p)(2)(C)(i)(I)) which has at least 1 employee who is not a highly compensated employee (as defined in section 414(q)) and is participating in the plan.
eligible employer,title-26_subtitle-K_chapter-100_subchapter-C_section-9831_subsection-d,"means an employer that— (i) is not an applicable large employer as defined in section 4980H(c)(2), and (ii) does not offer a group health plan to any of its employees."
controlled group of entities,title-26_subtitle-C_chapter-21_subchapter-C_section-3121_subsection-z,"means a controlled group of corporations as defined in section 1563(a)(1), except that— (i) ""more than 50 percent"" shall be substituted for ""at least 80 percent"" each place it appears therein, and (ii) the determination shall be made without regard to subsections (a)(4) and (b)(2) of section 1563."
dealer securities futures contract,title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1256_subsection-g,"means, with respect to any dealer, any securities futures contract, and any option on such a contract, which— (i) is entered into by such dealer (or, in the case of an option, is purchased or granted by such dealer) in the normal course of his activity of dealing in such contracts or options, as the case may be, and (ii) is traded on a qualified board or exchange."
liquid sugar,title-26_subtitle-E_chapter-51_subchapter-F_part-IV_section-5392_subsection-g,means a substantially colorless pure sugar and water solution containing not less than 60 percent pure sugar by weight (60 degrees Brix.
qualified employer retirement plan,title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-72_subsection-d,"means any plan or contract described in paragraph (1), (2), or (3) of section 4974(c)."
brewer,title-26_subtitle-E_chapter-51_subchapter-A_part-I_subpart-D_section-5052_subsection-d,means any person who brews beer or produces beer for sale.
distiller,title-26_subtitle-E_chapter-51_subchapter-A_part-I_subpart-A_section-5002_subsection-a,"includes any person who— (A) produces distilled spirits from any source or substance, (B) brews or makes mash, wort, or wash fit for distillation or for the production of distilled spirits (other than the making or using of mash, wort, or wash in the authorized production of wine or beer, or the production of vinegar by fermentation), (C) by any process separates alcoholic spirits from any fermented substance, or (D) making or keeping mash, wort, or wash, has a still in his possession or use."
specified notional principal contract,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-A_section-871_subsection-m,"means— (A) any notional principal contract if— (i) in connection with entering into such contract, any long party to the contract transfers the underlying security to any short party to the contract, (ii) in connection with"
specified terrorist victim,title-26_subtitle-A_chapter-1_subchapter-J_part-II_section-692_subsection-d,"means any decedent— (A) who dies as a result of wounds or injury incurred as a result of the terrorist attacks against the United States on April 19, 1995, or September 11, 2001, or (B) who dies as a result of illness incurred as a result of an attack involving anthrax occurring on or after September 11, 2001, and before January 1, 2002."
listed property,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-280F_subsection-d,"means— (i) any passenger automobile, (ii) any other property used as a means of transportation, (iii) any property of a type generally used for purposes of entertainment, recreation, or amusement, and (iv) any other property of a type specified by the Secretary by regulations."
self-employed individual,title-26_subtitle-A_chapter-1_subchapter-B_part-VII_section-217_subsection-f,"means an individual who performs personal services— (1) as the owner of the entire interest in an unincorporated trade or business, or (2) as a partner in a partnership carrying on a trade or business."
self-employed individual,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-c,"means, with respect to any taxable year, an individual who has earned income (as defined in paragraph (2)) for such taxable year."
self-employed individual,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-c,includes an individual described in section 3121(b)(20) (relating to certain fishermen).
