term,type,index,definition
controlled group,Concept,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-267_subsection-f,"meaning given to such term by section 1563(a), except that— (A) ""more than 50 percent"" shall be substituted for ""at least 80 percent"" each place it appears in section 1563(a), and (B) the determination shall be made without regard to subsections (a)(4) and (e)(3)(C) of section 1563."
controlled group,Concept,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-267_subsection-f,"refers to a relationship which would result in a disallowance of losses under this section, deferral under paragraph (2) shall be treated as disallowance."
controlled group,Concept,title-26_subtitle-A_chapter-1_subchapter-C_part-V_section-384_subsection-b,"means a controlled group of corporations (as defined in section 1563(a)); except that— (A) ""more than 50 percent"" shall be substituted for ""at least 80 percent"" each place it appears, (B) the ownership requirements of section 1563(a) must be met both with respect to voting power and value, and (C) the determination shall be made without regard to subsection (a)(4) of section 1563."
controlled group,Concept,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-404_subsection-a,"meaning provided by section 1563(a), determined without regard to section 1563(a)(4) and (e)(3)(C)."
controlled group,Concept,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-d,"means any group treated as a single employer under subsection (b), (c), (m), or (o) of section 414."
controlled group,Concept,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-l,"means any group treated as a single employer under subsection (b), (c), (m), or (o)."
controlled group,Concept,title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-430_subsection-k,"means any group treated as a single employer under subsections (b), (c), (m), and (o) of section 414."
controlled group,Concept,title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-430_subsection-m,"means all persons treated as a single employer under subsection (b), (c), (m), or (o) of section 414 as of December 20, 2019."
controlled group,Concept,title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-433_subsection-g,"means any group treated as a single employer under subsections (b), (c), (m), and (o) of section 414."
controlled group,Concept,title-26_subtitle-A_chapter-1_subchapter-F_part-I_section-501_subsection-c,"meaning given such term by section 831(b)(2)(B)(ii),1 except that in applying section 831(b)(2)(B)(ii) 1 for purposes of this subparagraph, subparagraphs (B) and (C) of section 1563(b)(2) shall be disregarded."
controlled group,Concept,title-26_subtitle-A_chapter-1_subchapter-L_part-II_section-831_subsection-b,"means any controlled group of corporations (as defined in section 1563(a)); except that— (I) ""more than 50 percent"" shall be substituted for ""at least 80 percent"" each place it appears in section 1563(a), and (II) subsections (a)(4) and (b)(2)(D) of section 1563 shall not apply."
controlled group,Concept,title-26_subtitle-A_chapter-1_subchapter-M_part-I_section-851_subsection-c,"means one or more chains of corporations connected through stock ownership with the taxpayer if— (A) 20 percent or more of the total combined voting power of all classes of stock entitled to vote of each of the corporations (except the taxpayer) is owned directly by one or more of the other corporations, and (B) the taxpayer owns directly 20 percent or more of the total combined voting power of all classes of stock entitled to vote, of at least one of the other corporations."
controlled group,Concept,title-26_subtitle-A_chapter-1_subchapter-N_part-IV_subpart-A_section-993_subsection-a,meaning assigned to
controlled group,Concept,title-26_subtitle-A_chapter-1_subchapter-R_section-1355_subsection-a,means any group which would be treated as a single employer under subsection (a) or (b) of section 52 if paragraphs (1) and (2) of section 52(a) did not apply.
controlled group,Concept,title-26_subtitle-D_chapter-43_section-4971_subsection-e,"means any group treated as a single employer under subsection (b), (c), (m), or (o) of section 414."
controlled group,Concept,title-26_subtitle-E_chapter-51_subchapter-A_part-I_subpart-A_section-5001_subsection-c,"meaning given such term by subsection (a) of section 1563, except that ""more than 50 percent"" shall be substituted for ""at least 80 percent"" each place it appears in such subsection."
controlled group,Concept,title-26_subtitle-E_chapter-51_subchapter-A_part-I_subpart-D_section-5051_subsection-a,"meaning assigned to it by subsection (a) of section 1563, except that for such purposes the phrase ""more than 50 percent"" shall be substituted for the phrase ""at least 80 percent"" in each place it appears in such subsection."
controlled group,Concept,title-26_subtitle-E_chapter-51_subchapter-A_part-I_subpart-D_section-5051_subsection-a,meaning given such term under subparagraph (A).
high deductible health plan,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-VII_section-220_subsection-c,"means a health plan— (i) in the case of self-only coverage, which has an annual deductible which is not less than $1,500 and not more than $2,250, (ii) in the case of family coverage, which has an annual deductible which is not less than $3,000 and not more than $4,500, and (iii) the annual out-of-pocket expenses required to be paid under the plan (other than for premiums) for covered benefits does not exceed— (I) $3,000 for self-only coverage, and (II) $5,500 for family coverage."
high deductible health plan,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-VII_section-223_subsection-c,"means a health plan— (i) which has an annual deductible which is not less than— (I) $1,000 for self-only coverage, and (II) twice the dollar amount in subclause (I) for family coverage, and (ii) the sum of the annual deductible and the other annual out-of-pocket expenses required to be paid under the plan (other than for premiums) for covered benefits does not exceed— (I) $5,000 for self-only coverage, and (II) twice the dollar amount in subclause (I) for family coverage."
existing 80/20 company,Entity,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-A_section-871_subsection-l,"means any corporation if— (i) such corporation met the 80-percent foreign business requirements of section 861(c)(1) (as in effect before the date of the enactment of this subsection) for such corporation's last taxable year beginning before January 1, 2011, (ii) such corporation meets the 80-percent foreign business requirements of subparagraph (B) with respect to each taxable year after the taxable year referred to in clause (i), and (iii) there has not been an addition of a substantial line of business with respect to such corporation after the date of the enactment of this subsection."
qualified heir,Entity,title-26_subtitle-B_chapter-11_subchapter-A_part-III_section-2032A_subsection-e,"means, with respect to any property, a member of the decedent's family who acquired such property (or to whom such property passed) from the decedent."
dealer in securities,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-163_subsection-l,meaning given such term by section 475.
dealer in securities,Entity,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-D_section-475_subsection-c,"means a taxpayer who— (A) regularly purchases securities from or sells securities to customers in the ordinary course of a trade or business; or (B) regularly offers to enter into, assume, offset, assign or otherwise terminate positions in securities with customers in the ordinary course of a trade or business."
offsetting notional principal contract,Entity,title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1259_subsection-d,"means, with respect to any property, an agreement which includes— (A) a requirement to pay (or provide credit for) all or substantially all of the investment yield (including appreciation) on such property for a specified period, and (B) a right to be reimbursed for (or receive credit for) all or substantially all of any decline in the value of such property."
qualified trade or business,Concept,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-199A_subsection-d,"means any trade or business other than— (A) a specified service trade or business, or (B) the trade or business of performing services as an employee."
qualified trade or business,Concept,title-26_subtitle-A_chapter-1_subchapter-C_part-I_subpart-A_section-302_subsection-e,"means any trade or business which— (A) was actively conducted throughout the 5-year period ending on the date of the redemption, and (B) was not acquired by the corporation within such period in a transaction in which gain or loss was recognized in whole or in part."
qualified trade or business,Concept,title-26_subtitle-A_chapter-1_subchapter-P_part-I_section-1202_subsection-e,"means any trade or business other than— (A) any trade or business involving the performance of services in the fields of health, law, engineering, architecture, accounting, actuarial science, performing arts, consulting, athletics, financial services, brokerage services, or any trade or business where the principal asset of such trade or business is the reputation or skill of 1 or more of its employees, (B) any banking, insurance, financing, leasing, investing, or similar business, (C) any farming business (including the business of raising or harvesting trees), (D) any business involving the production or extraction of products of a character with respect to which a deduction is allowable under section 613 or 613A, and (E) any business of operating a hotel, motel, restaurant, or similar business."
biodiesel,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-40A_subsection-d,means the monoalkyl esters of long chain fatty acids derived from plant or animal matter which meet— (A) the registration requirements for fuels and fuel additives established by the Environmental Protection Agency under section 211 of the Clean Air Act (42 U.
eligible independent contractor,Entity,title-26_subtitle-A_chapter-1_subchapter-M_part-II_section-856_subsection-d,"means, with respect to any qualified lodging facility or qualified health care property (as defined in subsection (e)(6)(D)(i)), any independent contractor if, at the time such contractor enters into a management agreement or other similar service contract with the taxable REIT subsidiary to operate such qualified lodging facility or qualified health care property, such contractor (or any related person) is actively engaged in the trade or business of operating qualified lodging facilities or qualified health care properties, respectively, for any person who is not a related person with respect to the real estate investment trust or the taxable REIT subsidiary."
rural area,Entity,title-26_subtitle-A_chapter-1_subchapter-U_part-I_section-1393_subsection-a,"means any area which is— (A) outside of a metropolitan statistical area (within the meaning of section 143(k)(2)(B)), or (B) determined by the Secretary of Agriculture, after consultation with the Secretary of Commerce, to be a rural area."
new loss corporation,Entity,title-26_subtitle-A_chapter-1_subchapter-C_part-V_section-382_subsection-k,means a corporation which (after an ownership change) is a loss corporation.
miner,Entity,title-26_subtitle-A_chapter-1_subchapter-F_part-I_section-501_subsection-c,meaning as such term has when used in section 402(d) of the Black Lung Benefits Act (30 U.
qualified 5-percent or less partner,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-267_subsection-e,"means any partner who has (directly or indirectly) an interest of 5 percent or less in the aggregate capital and profits interests of the partnership but only if— (i) such partner owned the low-income housing at all times during the 2-year period ending on the date such housing was transferred to the partnership, or (ii) such partnership acquired the low-income housing pursuant to a purchase, assignment, or other transfer from the Department of Housing and Urban Development or any State or local housing authority."
crew leader,Entity,title-26_subtitle-C_chapter-21_subchapter-C_section-3121_subsection-o,"means an individual who furnishes individuals to perform agricultural labor for another person, if such individual pays (either on his own behalf or on behalf of such person) the individuals so furnished by him for the agricultural labor performed by them and if such individual has not entered into a written agreement with such person whereby such individual has been designated as an employee of such person; and such individuals furnished by the crew leader to perform agricultural labor for another person shall be deemed to be the employees of such crew leader."
publicly held corporation,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-162_subsection-m,means any corporation which is an issuer (as defined in section 3 of the Securities Exchange Act of 1934 (15 U.
qualified opportunity zone stock,Entity,title-26_subtitle-A_chapter-1_subchapter-Z_section-1400Z_subsection-d,"means any stock in a domestic corporation if— (I) such stock is acquired by the qualified opportunity fund after December 31, 2017, at its original issue (directly or through an underwriter) from the corporation solely in exchange for cash, (II) as of the time such stock was issued, such corporation was a qualified opportunity zone business (or, in the case of a new corporation, such corporation was being organized for purposes of being a qualified opportunity zone business), and (III) during substantially all of the qualified opportunity fund's holding period for such stock, such corporation qualified as a qualified opportunity zone business."
qualifying vessel,Entity,title-26_subtitle-A_chapter-1_subchapter-R_section-1355_subsection-a,"means a self-propelled (or a combination self-propelled and non-self-propelled) United States flag vessel of not less than 6,000 deadweight tons used exclusively in the United States foreign trade during the period that the election under this subchapter is in effect."
enrolled actuary,Entity,title-26_subtitle-F_chapter-79_section-7701_subsection-a,means a person who is enrolled by the Joint Board for the Enrollment of Actuaries established under subtitle C of the title III of the Employee Retirement Income Security Act of 1974.
academic health center,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-119_subsection-d,"means an entity— (i) which is described in section 170(b)(1)(A)(iii), (ii) which receives (during the calendar year in which the taxable year of the taxpayer begins) payments under subsection (d)(5)(B) or (h) of section 1886 of the Social Security Act (relating to graduate medical education), and (iii) which has as one of its principal purposes or functions the providing and teaching of basic and clinical medical science and research with the entity's own faculty."
qualified nonguaranteed contract,Entity,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-D_section-419_subsection-e,"means any insurance contract (including a reasonable premium stabilization reserve held thereunder) if— (I) there is no guarantee of a renewal of such contract, and (II) other than insurance protection, the only payments to which the employer or employees are entitled are experience rated refunds or policy dividends which are not guaranteed and which are determined by factors other than the amount of welfare benefits paid to (or on behalf of) the employees of the employer or their beneficiaries."
rent-to-own dealer,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-168_subsection-i,"means a person that, in the ordinary course of business, regularly enters into rent-to-own contracts with customers for the use of consumer property, if a substantial portion of those contracts terminate and the property is returned to such person before the receipt of all payments required to transfer ownership of the property from such person to the customer."
metropolitan statistical area,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-42_subsection-d,"meaning as when used in section 143(k)(2)(B), and (IV)"
metropolitan statistical area,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-143_subsection-k,includes the area defined as such by the Secretary of Commerce.
eligible person,Entity,title-26_subtitle-A_chapter-1_subchapter-O_part-III_section-1043_subsection-b,"means— (A) an officer or employee of the executive branch, or a judicial officer, of the Federal Government, but does not mean a special Government employee as defined in section 202 of title 18, United States Code, and (B) any spouse or minor or dependent child whose ownership of any property is attributable under any statute, regulation, rule, judicial canon, or executive order referred to in paragraph (2) to a person referred to in subparagraph (A)."
transportation fuel,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45Z_subsection-d,"means a fuel which— (i) is suitable for use as a fuel in a highway vehicle or aircraft, (ii) has an emissions rate which is not greater than 50 kilograms of CO2e per mmBTU, and (iii) is not derived from coprocessing an applicable material (or materials derived from an applicable material) with a feedstock which is not biomass."
records,Entity,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-A_section-6038A_subsection-c,"includes any books, papers, or other data."
records,Entity,title-26_subtitle-F_chapter-78_subchapter-A_section-7609_subsection-c,"includes books, papers, and other data."
ineligible corporation,Concept,title-26_subtitle-A_chapter-1_subchapter-S_part-I_section-1361_subsection-b,"means any corporation which is— (A) a financial institution which uses the reserve method of accounting for bad debts described in section 585, (B) an insurance company subject to tax under subchapter L, or (C) a DISC or former DISC."
affiliated group,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-132_subsection-j,meaning given such term by section 1504(a).
affiliated group,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-VIII_section-243_subsection-b,"meaning given such term by section 1504(a), except that for such purposes sections 1504(b)(2) and 1504(c) shall not apply."
affiliated group,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-279_subsection-g,"meaning assigned to such term by section 1504(a), except that all corporations other than the acquired corporation shall be treated as includible corporations (without any exclusion under section 1504(b)) and the acquired corporation shall not be treated as an includible corporation."
affiliated group,Entity,title-26_subtitle-A_chapter-1_subchapter-C_part-I_subpart-A_section-304_subsection-b,meaning given such term by section 1504(a).
affiliated group,Entity,title-26_subtitle-A_chapter-1_subchapter-C_part-II_subpart-A_section-332_subsection-d,meaning given such term by section 1504(a) (without regard to paragraph (2) of section 1504(b)).
affiliated group,Entity,title-26_subtitle-A_chapter-1_subchapter-C_part-II_subpart-B_section-338_subsection-h,meaning given to such term by section 1504(a) (determined without regard to the exceptions contained in section 1504(b)).
affiliated group,Entity,title-26_subtitle-A_chapter-1_subchapter-G_part-II_section-543_subsection-d,meaning given such term by section 1504(a).
affiliated group,Entity,title-26_subtitle-A_chapter-1_subchapter-H_part-II_section-593_subsection-d,"meaning assigned to such term by section 1504(a); except that (i) the phrase ""more than 50 percent"" shall be substituted for the phrase ""at least 80 percent"" each place it appears in section 1504(a), and (ii) all corporations shall be treated as includible corporations (without any exclusion under section 1504(b))."
affiliated group,Entity,title-26_subtitle-A_chapter-1_subchapter-N_part-I_section-864_subsection-e,meaning given such term by section 1504.
affiliated group,Entity,title-26_subtitle-A_chapter-6_subchapter-A_section-1504_subsection-a,"means— (A) 1 or more chains of includible corporations connected through stock ownership with a common parent corporation which is an includible corporation, but only if— (B)(i) the common parent owns directly stock meeting the requirements of paragraph (2) in at least 1 of the other includible corporations, and (ii) stock meeting the requirements of paragraph (2) in each of the includible corporations (except the common parent) is owned directly by 1 or more of the other includible corporations."
affiliated group,Entity,title-26_subtitle-D_chapter-33_subchapter-C_part-III_section-4282_subsection-c,"meaning assigned to such term by section 1504(a), except that all corporations shall be treated as includible corporations (without any exclusion under section 1504(b))."
indoor tanning service,Entity,title-26_subtitle-D_chapter-49_section-5000B_subsection-b,"means a service employing any electronic product designed to incorporate 1 or more ultraviolet lamps and intended for the irradiation of an individual by ultraviolet radiation, with wavelengths in air between 200 and 400 nanometers, to induce skin tanning."
wholesale dealer in beer,Entity,title-26_subtitle-E_chapter-51_subchapter-A_part-II_subpart-C_section-5121_subsection-c,"means any dealer who sells, or offers for sale, beer, but not distilled spirits or wines, to another dealer."
term loan,Entity,title-26_subtitle-F_chapter-80_subchapter-C_section-7872_subsection-f,means any loan which is not a demand loan.
case,Entity,title-26_subtitle-E_chapter-51_subchapter-A_part-I_subpart-A_section-5011_subsection-d,means 12 80-proof 750-milliliter bottles.
custodial parent,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-V_section-152_subsection-e,means the parent having custody for the greater portion of the calendar year.
all other minerals,Entity,title-26_subtitle-A_chapter-1_subchapter-I_part-I_section-613_subsection-b,"does not include— (A) soil, sod, dirt, turf, water, or mosses; (B) minerals from sea water, the air, or similar inexhaustible sources; or (C) oil and gas wells."
battery module,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45X_subsection-c,"means a module— (I)(aa) in the case of a module using battery cells, with 2 or more battery cells which are configured electrically, in series or parallel, to create voltage or current, as appropriate, to a specified end use, or (bb) with no battery cells, and (II) with an aggregate capacity of not less than 7 kilowatt-hours (or, in the case of a module for a hydrogen fuel cell vehicle, not less than 1 kilowatt-hour)."
high migration rural county,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45D_subsection-e,"means any county which, during the 20-year period ending with the year in which the most recent census was conducted, has a net out-migration of inhabitants from the county of at least 10 percent of the population of the county at the beginning of such period."
high migration rural county,Entity,title-26_subtitle-A_chapter-1_subchapter-U_part-II_section-1394_subsection-b,"means any county which, during the 20-year period ending with the year in which the most recent census was conducted, has a net out-migration of inhabitants from the county of at least 10 percent of the population of the county at the beginning of such period."
qualified fuel cell property,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-E_section-48_subsection-c,means a fuel cell power plant which— (i) has a nameplate capacity of at least 0.
investment assets,Entity,title-26_subtitle-A_chapter-1_subchapter-C_part-III_subpart-B_section-355_subsection-g,"means— (I) cash, (II) any stock or securities in a corporation, (III) any interest in a partnership, (IV) any debt instrument or other evidence of indebtedness, (V) any option, forward or futures contract, notional principal contract, or derivative, (VI) foreign currency, or (VII) any similar asset."
commodity,Entity,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-D_section-475_subsection-e,"means— (A) any commodity which is actively traded (within the meaning of section 1092(d)(1)); (B) any notional principal contract with respect to any commodity described in subparagraph (A); (C) any evidence of an interest in, or a derivative instrument in, any commodity described in subparagraph (A) or (B), including any option, forward contract, futures contract, short position, and any similar instrument in such a commodity; and (D) any position which— (i) is not a commodity described in subparagraph (A), (B), or (C), (ii) is a hedge with respect to such a commodity, and (iii) is clearly identified in the taxpayer's records as being described in this subparagraph before the close of the day on which it was acquired or entered into (or such other time as the Secretary may by regulations prescribe)."
commodity,Entity,title-26_subtitle-D_chapter-43_section-4975_subsection-f,meaning given such term by section 475(e)(2) (without regard to subparagraph (D)(iii) thereof).
high-speed intercity rail facilities,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-142_subsection-i,"means any facility (not including rolling stock) for the fixed guideway rail transportation of passengers and their baggage between metropolitan statistical areas (within the meaning of section 143(k)(2)(B)) using vehicles that are reasonably expected to be capable of attaining a maximum speed in excess of 150 miles per hour between scheduled stops, but only if such facility will be made available to members of the general public as passengers."
authorized person,Entity,title-26_subtitle-F_chapter-61_subchapter-B_section-6103_subsection-l,"means, with respect to information disclosed under subparagraph (A), (B), or (C), any person who— (i) is an officer, employee, or contractor, of the Department of Education, and (ii) is specifically authorized and designated by the Secretary of Education for purposes of such subparagraph (applied separately with respect to each such subparagraph)."
authorized person,Entity,title-26_subtitle-F_chapter-61_subchapter-B_section-6109_subsection-g,"means an officer or employee of an insurer whom the Manager of the Corporation designates by rule, subject to appropriate safeguards including a prohibition against the release of such social security account numbers (other than to the Corporations) by such person."
shareholder,Entity,title-26_subtitle-A_chapter-1_subchapter-C_part-I_subpart-A_section-305_subsection-d,includes a holder of rights or of convertible securities.
shareholder,Entity,title-26_subtitle-F_chapter-79_section-7701_subsection-a,"includes a member in an association, joint-stock company, or insurance company."
applicable defined contribution plan,Entity,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-a,means any defined contribution plan which holds any publicly traded employer securities.
applicable defined contribution plan,Entity,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-x,means a defined contribution plan which includes a qualified cash or deferred arrangement.
political subdivision,Entity,title-26_subtitle-C_chapter-21_subchapter-C_section-3121_subsection-j,"includes an instrumentality of— (i) a State, (ii) one or more political subdivisions of a State, or (iii) a State and one or more of its political subdivisions."
student loan,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-108_subsection-f,"means any loan to an individual to assist the individual in attending an educational organization described in section 170(b)(1)(A)(ii) made by— (A) the United States, or an instrumentality or agency thereof, (B) a State, territory, or possession of the United States, or the District of Columbia, or any political subdivision thereof, (C) a public benefit corporation— (i) which is exempt from taxation under section 501(c)(3), (ii) which has assumed control over a State, county, or municipal hospital, and (iii) whose employees have been deemed to be public employees under State law, or (D) any educational organization described in section 170(b)(1)(A)(ii) if such loan is made— (i) pursuant to an agreement with any entity described in subparagraph (A), (B), or (C) under which the funds from which the loan was made were provided to such educational organization, or (ii) pursuant to a program of such educational organization which is designed to encourage its students to serve in occupations with unmet needs or in areas with unmet needs and under which the services provided by the students (or former students) are for or under the direction of a governmental unit or an organization described in section 501(c)(3) and exempt from tax under section 501(a)."
debt management plan services,Concept,title-26_subtitle-A_chapter-1_subchapter-F_part-I_section-501_subsection-q,"means services related to the repayment, consolidation, or restructuring of a consumer's debt, and includes the negotiation with creditors of lower interest rates, the waiver or reduction of fees, and the marketing and processing of debt management plans."
water utility property,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-168_subsection-e,"means property— (A) which is an integral part of the gathering, treatment, or commercial distribution of water, and which, without regard to this paragraph, would be 20-year property, and (B) any municipal sewer."
solar module,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45X_subsection-c,"means the connection and lamination of photovoltaic cells into an environmentally protected final assembly which is— (I) suitable to generate electricity when exposed to sunlight, and (II) ready for installation without an additional manufacturing process."
qualified low-income community investment,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45D_subsection-d,"means— (A) any capital or equity investment in, or loan to, any qualified active low-income community business, (B) the purchase from another qualified community development entity of any loan made by such entity which is a qualified low-income community investment, (C) financial counseling and other services specified in regulations prescribed by the Secretary to businesses located in, and residents of, low-income communities, and (D) any equity investment in, or loan to, any qualified community development entity."
transferee's agent,Entity,title-26_subtitle-A_chapter-3_subchapter-A_section-1445_subsection-d,"means any person who represents the transferee— (A) in any negotiation with the transferor or any transferor's agent related to the transaction, or (B) in settling the transaction."
ton,Entity,title-26_subtitle-D_chapter-32_subchapter-B_section-4121_subsection-d,"means 2,000 pounds."
ton,Entity,title-26_subtitle-D_chapter-38_subchapter-B_section-4662_subsection-a,"means 2,000 pounds."
ton,Entity,title-26_subtitle-D_chapter-38_subchapter-B_section-4662_subsection-a,"means the amount of such gas in cubic feet which is the equivalent of 2,000 pounds on a molecular weight basis."
petroleum residue,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-E_section-48B_subsection-c,means the carbonized product of high-boiling hydrocarbon fractions obtained in petroleum processing.
petroleum residue,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-142_subsection-o,means the carbonized product of high-boiling hydrocarbon fractions obtained in petroleum processing.
fiduciary,Entity,title-26_subtitle-D_chapter-43_section-4975_subsection-e,"means any person who— (A) exercises any discretionary authority or discretionary control respecting management of such plan or exercises any authority or control respecting management or disposition of its assets, (B) renders investment advice for a fee or other compensation, direct or indirect, with respect to any moneys or other property of such plan, or has any authority or responsibility to do so, or (C) has any discretionary authority or discretionary responsibility in the administration of such plan."
fiduciary,Entity,title-26_subtitle-F_chapter-79_section-7701_subsection-a,"means a guardian, trustee, executor, administrator, receiver, conservator, or any person acting in any fiduciary capacity for any person."
