index,name,type,definition
title-26_subtitle-F_chapter-61_subchapter-B_section-6103_subsection-b,state,entity,"means— (i) any of the 50 States, the District of Columbia, the Commonwealth of Puerto Rico, the Virgin Islands, Guam, American Samoa, and the Commonwealth of the Northern Mariana Islands, (ii) for purposes of subsections (a)(2), (b)(4), (d)(1), (h)(4), and (p), any municipality— (I) with a population in excess of 250,000 (as determined under the most recent decennial United States census data available), (II) which imposes a tax on income or wages, and (III) with which the Secretary (in his sole discretion) has entered into an agreement regarding disclosure, and (iii) for purposes of subsections (a)(2), (b)(4), (d)(1), (h)(4), and (p), any governmental entity— (I) which is formed and operated by a qualified group of municipalities, and (II) with which the Secretary (in his sole discretion) has entered into an agreement regarding disclosure."
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-G_section-971_subsection-b,export trade income,concept,"means net income from— (1) the sale to an unrelated person for use, consumption, or disposition outside the United States of export property (as defined in subsection (e)), or from commissions, fees, compensation, or other income from the performance of commercial, industrial, financial, technical, scientific, managerial, engineering, architectural, skilled, or other services in respect to such sales or in respect of the installation or maintenance of such export property; (2) commissions, fees, compensation, or other income from commercial, industrial, financial, technical, scientific, managerial, engineering, architectural, skilled, or other services performed in connection with the use by an unrelated person outside the United States of patents, copyrights, secret processes and formulas, goodwill, trademarks, trade brands, franchises, and other like property acquired or developed and owned by the manufacturer, producer, grower, or extractor of export property in respect of which the export trade corporation earns export trade income under paragraph (1); (3) commissions, fees, rentals, or other compensation or income attributable to the use of export property by an unrelated person or attributable to the use of export property in the rendition of technical, scientific, or engineering services to an unrelated person; and (4) interest from export trade assets described in subsection (c)(4)."
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-a,employee stock ownership plan,entity,meaning given such term by section 4975(e)(7).
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-402A_subsection-c,designated roth contribution,concept,"means any elective deferral, matching contribution, or nonelective contribution which— (A) is excludable from gross income of an employee without regard to this section, and (B) the employee designates (at such time and in such manner as the Secretary may prescribe) as not being so excludable."
title-26_subtitle-F_chapter-68_subchapter-A_part-II_section-6664_subsection-c,qualified appraisal,concept,meaning given such term by section 170(f)(11)(E)(i).
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-953_subsection-c,related person insurance income,entity,means any insurance income (within the meaning of subsection (a)) attributable to a policy of insurance or reinsurance with respect to which the person (directly or indirectly) insured is a United States shareholder in the foreign corporation or a related person to such a shareholder.
title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1233_subsection-e,taxpayer,entity,"meaning of section 1236)— (i) if, on the date of a short sale of stock, substantially identical property which is a capital asset in the hands of the taxpayer has been held for not more than 1 year, and (ii) if such short sale is closed more than 20 days after the date on which it was made, subsection (b)(2) shall apply in respect of the holding period of such substantially identical property."
title-26_subtitle-E_chapter-53_subchapter-B_part-I_subsection-m,manufacturer,entity,means any person who is engaged in the business of manufacturing firearms.
title-26_subtitle-A_chapter-1_subchapter-A_part-VII_section-59A_subsection-d,surrogate foreign corporation,entity,meaning given such term by section 7874(a)(2)(B) but does not include a foreign corporation treated as a domestic corporation under section 7874(b).
title-26_subtitle-A_chapter-1_subchapter-O_part-III_section-1042_subsection-c,qualified replacement property,concept,"means any security issued by a domestic operating corporation which— (i) did not, for the taxable year preceding the taxable year in which such security was purchased, have passive investment income (as defined in section 1362(d)(3)(C)) in excess of 25 percent of the gross receipts of such corporation for such preceding taxable year, and (ii) is not the corporation which issued the qualified securities which such security is replacing or a member of the same controlled group of corporations (within the meaning of section 1563(a)(1)) as such corporation."
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-E_section-420_subsection-f,collectively bargained life insurance benefits,concept,"means, with respect to any collectively bargained transfer— (i) applicable life insurance benefits which are provided to retired employees who, immediately before the transfer, are entitled to receive such benefits by reason of retirement, and (ii) if specified by the provisions of the collective bargaining agreement governing the transfer, applicable life insurance benefits which will be provided at retirement to employees who are not retired employees at the time of the transfer."
title-26_subtitle-A_chapter-1_subchapter-L_part-I_subpart-C_section-805_subsection-a,100 percent dividend,concept,means any dividend if the percentage used for purposes of determining the deduction allowable under section 243 or 245(b) is 100 percent.
title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-B_section-881_subsection-c,controlled foreign corporation,entity,meaning given to such term by section 957(a).
title-26_subtitle-A_chapter-1_subchapter-A_part-VI_section-58_subsection-c,insolvent,concept,means the excess of liabilities over the fair market value of assets.
title-26_subtitle-C_chapter-21_subchapter-D_section-3132_subsection-f,wages,entity,"means wages (as defined in section 3121(a), determined without regard to paragraphs (1) through (22) of section 3121(b)) and compensation (as defined in section 3231(e), determined without regard to the sentence in paragraph (1) thereof which begins ""Such term does not include remuneration"")."
title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-B_section-884_subsection-c,u.s. net equity,concept,means— (A) U.
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-470_subsection-f,lessor,entity,meaning of section 197(f)(9)(C)(i)).
title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-265_subsection-b,tax-exempt obligation,concept,means any obligation the interest on which is wholly exempt from taxes imposed by this subtitle.
title-26_subtitle-C_chapter-21_subchapter-C_section-3121_subsection-a,service not in the course of the employer's trade or business,concept,"does not include domestic service in a private home of the employer and does not include service described in subsection (g)(5); (8)(A) remuneration paid in any medium other than cash for agricultural labor; (B) cash remuneration paid by an employer in any calendar year to an employee for agricultural labor unless— (i) the cash remuneration paid in such year by the employer to the employee for such labor is $150 or more, or (ii) the employer's expenditures for agricultural labor in such year equal or exceed $2,500, [(9) Repealed."
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-162_subsection-m,deferred deduction executive remuneration,concept,means remuneration which would be executive remuneration for services performed in an applicable taxable year but for the fact that the deduction under this chapter (determined without regard to this paragraph) for such remuneration is allowable in a subsequent taxable year.
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-42_subsection-h,adjusted investor equity,concept,"means, with respect to any calendar year, the aggregate amount of cash taxpayers invested with respect to the project increased by the amount equal to— (I) such amount, multiplied by (II) the cost-of-living adjustment for such calendar year, determined under section 1(f)(3) by substituting the base calendar year for ""calendar year 2016"" in subparagraph (A)(ii) thereof."
title-26_subtitle-A_chapter-1_subchapter-B_part-VII_section-216_subsection-b,cooperative housing corporation,entity,"means a corporation— (A) having one and only one class of stock outstanding, (B) each of the stockholders of which is entitled, solely by reason of his ownership of stock in the corporation, to occupy for dwelling purposes a house, or an apartment in a building, owned or leased by such corporation, (C) no stockholder of which is entitled (either conditionally or unconditionally) to receive any distribution not out of earnings and profits of the corporation except on a complete or partial liquidation of the corporation, and (D) meeting 1 or more of the following requirements for the taxable year in which the taxes and interest described in subsection (a) are paid or incurred: (i) 80 percent or more of the corporation's gross income for such taxable year is derived from tenant-stockholders."
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-409_subsection-p,disqualified person,entity,"means any person if— (i) the aggregate number of deemed-owned shares of such person and the members of such person's family is at least 20 percent of the number of deemed-owned shares of stock in the S corporation, or (ii) in the case of a person not described in clause (i), the number of deemed-owned shares of such person is at least 10 percent of the number of deemed-owned shares of stock in such corporation."
title-26_subtitle-A_chapter-1_subchapter-F_part-III_section-513_subsection-f,unrelated trade or business,entity,does not include any trade or business which consists of conducting bingo games.
title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-108_subsection-e,debtor corporation,entity,includes a successor corporation.
title-26_subtitle-F_chapter-65_subchapter-B_section-6413_subsection-c,wages,entity,"as used in this paragraph shall, for purposes of this paragraph, include ""compensation"" as defined in section 3231(e)."
title-26_subtitle-A_chapter-1_subchapter-F_part-II_section-507_subsection-d,related person,entity,"means, with respect to any person, any other person who would be a disqualified person (within the meaning of section 4946) by reason of his relationship to such person."
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-163_subsection-h,home equity indebtedness,concept,"means any indebtedness (other than acquisition indebtedness) secured by a qualified residence to the extent the aggregate amount of such indebtedness does not exceed— (I) the fair market value of such qualified residence, reduced by (II) the amount of acquisition indebtedness with respect to such residence."
title-26_subtitle-A_chapter-1_subchapter-U_part-II_section-1394_subsection-b,high migration rural county,entity,"means any county which, during the 20-year period ending with the year in which the most recent census was conducted, has a net out-migration of inhabitants from the county of at least 10 percent of the population of the county at the beginning of such period."
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-199A_subsection-d,applicable percentage,concept,"means, with respect to any taxable year, 100 percent reduced (not below zero) by the percentage equal to the ratio of— (i) the taxable income of the taxpayer for the taxable year in excess of the threshold amount, bears to (ii) $50,000 ($100,000 in the case of a joint return)."
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-417_subsection-f,annuity starting date,concept,"means— (i) the first day of the first period for which an amount is payable as an annuity, or (ii) in the case of a benefit not payable in the form of an annuity, the first day on which all events have occurred which entitle the participant to such benefit."
title-26_subtitle-A_chapter-1_subchapter-M_part-II_section-856_subsection-c,nonqualified publicly offered reit debt instrument,entity,"means any real estate asset which would cease to be a real estate asset if subparagraph (B) were applied without regard to the reference to ""debt instruments issued by publicly offered REITs""."
title-26_subtitle-K_chapter-100_subchapter-C_section-9832_subsection-d,governmental plan,entity,meaning given such term by section 414(d).
title-26_subtitle-A_chapter-1_subchapter-H_part-II_section-593_subsection-d,loan,concept,"means debt, as"
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-162_subsection-n,group health plan,concept,"means a plan of, or contributed to by, an employer or employee organization (including a self-insured plan) to provide health care (directly or otherwise) to any employee, any former employee, the employer, or any other individual associated or formerly associated with the employer in a business relationship, or any member of their family."
title-26_subtitle-A_chapter-1_subchapter-R_section-1355_subsection-a,qualifying vessel,concept,"means a self-propelled (or a combination self-propelled and non-self-propelled) United States flag vessel of not less than 6,000 deadweight tons used exclusively in the United States foreign trade during the period that the election under this subchapter is in effect."
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-A_section-904_subsection-d,united states shareholder,entity,meaning given such term by section 951(b) (taking into account section 953(c)).
title-26_subtitle-A_chapter-1_subchapter-B_part-I_section-64,ordinary income,concept,includes any gain from the sale or exchange of property which is neither a capital asset nor property described in section 1231(b).
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-416_subsection-i,1-percent owner,entity,"means any person who would be described in clause (i) if ""1 percent"" were substituted for ""5 percent"" each place it appears in clause (i)."
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-465_subsection-c,component member,entity,means an includible corporation (as defined in section 1504) which is a member of the affiliated group.
title-26_subtitle-F_chapter-77_section-7526A_subsection-e,qualified return preparation program,entity,"means any program— (A) which provides assistance to individuals, not less than 90 percent of whom are applicable taxpayers, in preparing and filing Federal income tax returns, (B) which is administered by a qualified entity, (C) in which all volunteers who assist in the preparation of Federal income tax returns meet the training requirements prescribed by the Secretary, and (D) which uses a quality review process which reviews 100 percent of all returns."
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-o,highly compensated employee,entity,meaning given such term in section 414(q).
title-26_subtitle-A_chapter-1_subchapter-S_part-I_section-1361_subsection-b,ineligible corporation,entity,"means any corporation which is— (A) a financial institution which uses the reserve method of accounting for bad debts described in section 585, (B) an insurance company subject to tax under subchapter L, or (C) a DISC or former DISC."
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-163_subsection-e,related foreign person,entity,"means any person— (i) who is not a United States person, and (ii) who is related (within the meaning of section 267(b)) to the issuer."
title-26_subtitle-A_chapter-1_subchapter-K_part-II_subpart-B_section-731_subsection-c,investment partnership,entity,"means any partnership which has never been engaged in a trade or business and substantially all of the assets (by value) of which have always consisted of— (I) money, (II) stock in a corporation, (III) notes, bonds, debentures, or other evidences of indebtedness, (IV) interest rate, currency, or equity notional principal contracts, (V) foreign currencies, (VI) interests in or derivative financial instruments (including options, forward or futures contracts, short positions, and similar financial instruments) in any asset described in any other subclause of this clause or in any commodity traded on or subject to the rules of a board of trade or commodity exchange, (VII) other assets specified in regulations prescribed by the Secretary, or (VIII) any combination of the foregoing."
title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1258_subsection-d,options dealer,entity,meaning given such term by section 1256(g)(8).
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-E_section-420_subsection-f,collectively bargained retiree liabilities,concept,"means the present value, as of the beginning of a taxable year and determined in accordance with the applicable collective bargaining agreement, of all collectively bargained health benefits, and collectively bargained life insurance benefits, (including administrative expenses) for such taxable year and all subsequent taxable years during the collectively bargained cost maintenance period."
title-26_subtitle-A_chapter-1_subchapter-O_part-VII_section-1092_subsection-d,section 1256 contract,concept,meaning given such term by section 1256(b).
title-26_subtitle-D_chapter-42_subchapter-G_section-4966_subsection-d,sponsoring organization,entity,"means any organization which— (A) is described in section 170(c) (other than in paragraph (1) thereof, and without regard to paragraph (2)(A) thereof), (B) is not a private foundation (as defined in section 509(a)), and (C) maintains 1 or more donor advised funds."
title-26_subtitle-F_chapter-77_section-7526A_subsection-e,qualified entity,entity,"means any entity which— (i) is an eligible organization, (ii) is in compliance with Federal tax filing and payment requirements, (iii) is not debarred or suspended from Federal contracts, grants, or cooperative agreements, and (iv) agrees to provide documentation to substantiate any matching funds provided pursuant to the grant program under this section."
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-958_subsection-a,stock,entity,shall include any certificate entitling the holder to voting power in the corporation.
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-A_section-447_subsection-e,qualified partnership,entity,"means a partnership which is engaged in a qualified farming trade or business and each of the partners of which is a corporation other than— (i) an S corporation, or (ii) a personal holding company (within the meaning of section 542(a))."
title-26_subtitle-D_chapter-42_subchapter-A_section-4945_subsection-e,taxable expenditure,entity,"means any amount paid or incurred by a private foundation for— (1) any attempt to influence any legislation through an attempt to affect the opinion of the general public or any segment thereof, and (2) any attempt to influence legislation through communication with any member or employee of a legislative body, or with any other government official or employee who may participate in the formulation of the legislation (except technical advice or assistance provided to a governmental body or to a committee or other subdivision thereof in response to a written request by such body or subdivision, as the case may be), other than through making available the results of nonpartisan analysis, study, or research."
title-26_subtitle-D_chapter-42_subchapter-G_section-4966_subsection-d,fund manager,entity,"means, with respect to any sponsoring organization— (A) an officer, director, or trustee of such sponsoring organization (or an individual having powers or responsibilities similar to those of officers, directors, or trustees of the sponsoring organization), and (B) with respect to any act (or failure to act), the employees of the sponsoring organization having authority or responsibility with respect to such act (or failure to act)."
title-26_subtitle-D_chapter-42_subchapter-A_section-4940_subsection-d,substantial contributor,entity,means a person who is described in section 507(d)(2).
title-26_subtitle-A_chapter-1_subchapter-C_part-III_subpart-B_section-355_subsection-c,qualified property,concept,means any stock or securities in the controlled corporation.
title-26_subtitle-D_chapter-42_subchapter-B_section-4951_subsection-e,disqualified person,entity,"means, with respect to a trust described in section 501(c)(21), a person who is— (A) a contributor to the trust, (B) a trustee of the trust, (C) an owner of more than 10 percent of— (i) the total combined voting power of a corporation, (ii) the profits interest of a partnership, or (iii) the beneficial interest of a trust or unincorporated enterprise, (D) an officer, director, or employee of a person who is a contributor to the trust, (E) the spouse, ancestor, lineal descendant, or spouse of a lineal descendant of an individual described in subparagraph (A), (B), (C), or (D), (F) a corporation of which persons described in subparagraph (A), (B), (C), (D), or (E) own more than 35 percent of the total combined voting power, (G) a partnership in which persons described in subparagraph (A), (B), (C), (D), or (E), own more than 35 percent of the profits interest, or (H) a trust or estate in which persons described in subparagraph (A), (B), (C), (D), or (E), hold more than 35 percent of the beneficial interest."
title-26_subtitle-A_chapter-6_subchapter-A_section-1504_subsection-a,stock,entity,"does not include any stock which— (A) is not entitled to vote, (B) is limited and preferred as to dividends and does not participate in corporate growth to any significant extent, (C) has redemption and liquidation rights which do not exceed the issue price of such stock (except for a reasonable redemption or liquidation premium), and (D) is not convertible into another class of stock."
title-26_subtitle-A_chapter-1_subchapter-P_part-I_section-1202_subsection-b,eligible gain,concept,means any gain from the sale or exchange of qualified small business stock held for more than 5 years.
title-26_subtitle-A_chapter-1_subchapter-P_part-III_section-1222,net long-term capital loss,concept,means the excess of long-term capital losses for the taxable year over the long-term capital gains for such year.
title-26_subtitle-A_chapter-1_subchapter-G_part-IV_section-562_subsection-c,publicly offered reit,entity,means a real estate investment trust which is required to file annual and periodic reports with the Securities and Exchange Commission under the Securities Exchange Act of 1934.
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-J_section-988_subsection-c,debt instrument,concept,"means a bond, debenture, note, or certificate or other evidence of indebtedness."
title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-A_section-871_subsection-h,10-percent shareholder,entity,"means— (i) in the case of an obligation issued by a corporation, any person who owns 10 percent or more of the total combined voting power of all classes of stock of such corporation entitled to vote, or (ii) in the case of an obligation issued by a partnership, any person who owns 10 percent or more of the capital or profits interest in such partnership."
title-26_subtitle-A_chapter-1_subchapter-K_part-III_section-761_subsection-f,qualified joint venture,entity,"means any joint venture involving the conduct of a trade or business if— (A) the only members of such joint venture are a husband and wife, (B) both spouses materially participate (within the meaning of section 469(h) without regard to paragraph (5) thereof) in such trade or business, and (C) both spouses elect the application of this subsection."
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-168_subsection-h,foreign person or entity,entity,"means— (i) any foreign government, any international organization, or any agency or instrumentality of any of the foregoing, and (ii) any person who is not a United States person."
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-468B_subsection-d,related person,entity,means a person related to the taxpayer within the meaning of section 267(b).
title-26_subtitle-A_chapter-1_subchapter-P_part-III_section-1222,short-term capital gain,concept,"means gain from the sale or exchange of a capital asset held for not more than 1 year, if and to the extent such gain is taken into account in computing gross income."
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-460_subsection-b,interest accrual period,concept,"means the period— (i) beginning on the day after the return due date for any taxable year of the taxpayer, and (ii) ending on the return due date for the following taxable year."
title-26_subtitle-A_chapter-1_subchapter-M_part-II_section-856_subsection-n,real estate foreign exchange gain,concept,"means— (A) foreign currency gain (as defined in section 988(b)(1)) which is attributable to— (i) any item of income or gain described in subsection (c)(3), (ii) the acquisition or ownership of obligations secured by mortgages on real property or on interests in real property (other than foreign currency gain attributable to any item of income or gain described in clause (i)), or (iii) becoming or being the obligor under obligations secured by mortgages on real property or on interests in real property (other than foreign currency gain attributable to any item of income or gain described in clause (i)), (B) section 987 gain attributable to a qualified business unit (as defined by section 989) of the real estate investment trust, but only if such qualified business unit meets the requirements under— (i) subsection (c)(3) for the taxable year, and (ii) subsection (c)(4)(A) at the close of each quarter that the real estate investment trust has directly or indirectly held the qualified business unit, and (C) any other foreign currency gain as determined by the Secretary."
title-26_subtitle-D_chapter-43_section-4975_subsection-f,eligible investment advice arrangement,entity,"means an arrangement— (i) which either— (I) provides that any fees (including any commission or other compensation) received by the fiduciary adviser for investment advice or with respect to the sale, holding, or acquisition of any security or other property for purposes of investment of plan assets do not vary depending on the basis of any investment option selected, or (II) uses a computer model under an investment advice program meeting the requirements of subparagraph (C) in connection with the provision of investment advice by a fiduciary adviser to a participant or beneficiary, and (ii) with respect to which the requirements of subparagraphs (D), (E), (F), (G), (H), and (I) are met."
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-170_subsection-f,qualified appraisal,concept,"means, with respect to any property, an appraisal of such property which— (I) is treated for purposes of this paragraph as a qualified appraisal under regulations or other guidance prescribed by the Secretary, and (II) is conducted by a qualified appraiser in accordance with generally accepted appraisal standards and any regulations or other guidance prescribed under subclause (I)."
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-416_subsection-i,compensation,entity,meaning given such term by section 414(q)(4).
title-26_subtitle-A_chapter-1_subchapter-S_part-II_section-1368_subsection-e,accumulated adjustments account,concept,"means an account of the S corporation which is adjusted for the S period in a manner similar to the adjustments under section 1367 (except that no adjustment shall be made for income (and related expenses) which is exempt from tax under this title and the phrase ""(but not below zero)"" shall be disregarded in section 1367(a)(2)) and no adjustment shall be made for Federal taxes attributable to any taxable year in which the corporation was a C corporation."
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-453A_subsection-c,applicable percentage,concept,"means, with respect to obligations arising in any taxable year, the percentage determined by dividing— (A) the portion of the aggregate face amount of such obligations outstanding as of the close of such taxable year in excess of $5,000,000, by (B) the aggregate face amount of such obligations outstanding as of the close of such taxable year."
title-26_subtitle-A_chapter-1_subchapter-S_part-I_section-1361_subsection-e,purchase,concept,means any acquisition if the basis of the property acquired is determined under section 1012.
title-26_subtitle-D_chapter-42_subchapter-A_section-4943_subsection-f,disqualified person,entity,"means, with respect to the organization— (i) any person who was, at any time during the 5-year period ending on the date described in subsection (a)(2)(A), in a position to exercise substantial influence over the affairs of the organization, (ii) any member of the family (determined under section 4958(f)(4)) of an individual described in clause (i), (iii) any 35-percent controlled entity (as defined in section 4958(f)(3) by substituting ""persons described in clause (i) or (ii) of section 4943(f)(4)(A)"" for ""persons described in subparagraph (A) or (B) of paragraph (1)"" in subparagraph (A)(i) thereof), (iv) any person described in section 4958(c)(3)(B), and (v) any organization— (I) which is effectively controlled (directly or indirectly) by the same person or persons who control the organization in question, or (II) substantially all of the contributions to which were made (directly or indirectly) by the same person or persons described in subparagraph (B) or a member of the family (within the meaning of section 4946(d)) of such a person."
title-26_subtitle-A_chapter-1_subchapter-F_part-III_section-513_subsection-c,trade or business,entity,includes any activity which is carried on for the production of income from the sale of goods or the performance of services.
title-26_subtitle-A_chapter-1_subchapter-M_part-II_section-856_subsection-l,lodging facility,entity,meaning given to such term by subsection (d)(9)(D)(ii).
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-170_subsection-b,capital gain property,concept,"means, with respect to any contribution, any capital asset the sale of which at its fair market value at the time of the contribution would have resulted in gain which would have been long-term capital gain."
title-26_subtitle-D_chapter-42_subchapter-D_section-4960_subsection-c,remuneration,entity,"means wages (as defined in section 3401(a)), except that such term shall not include any designated Roth contribution (as defined in section 402A(c)) and shall include amounts required to be included in gross income under section 457(f)."
title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-121_subsection-d,divorce or separation instrument,concept,"means— (i) a decree of divorce or separate maintenance or a written instrument incident to such a decree, (ii) a written separation agreement, or (iii) a decree (not described in clause (i)) requiring a spouse to make payments for the support or maintenance of the other spouse."
title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1256_subsection-g,securities futures contract,concept,meaning given to such term by section 1234B.
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-460_subsection-b,closely held pass-thru entity,entity,"means any pass-thru entity if, at any time during any taxable year for which there is income under the contract, 50 percent or more (by value) of the beneficial interests in such entity are held (directly or indirectly) by or for 5 or fewer persons."
title-26_subtitle-D_chapter-32_subchapter-G_section-4221_subsection-d,state or local government,entity,"means any State, any political subdivision thereof, or the District of Columbia."
title-26_subtitle-D_chapter-42_subchapter-D_section-4960_subsection-c,applicable tax-exempt organization,entity,"means any organization which for the taxable year— (A) is exempt from taxation under section 501(a), (B) is a farmers' cooperative organization described in section 521(b)(1), (C) has income excluded from taxation under section 115(1), or (D) is a political organization described in section 527(e)(1)."
title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6049_subsection-d,interest,entity,includes amounts includible in gross income with respect to regular interests in REMIC's (and such amounts shall be treated as paid when includible in gross income under section 860B(b)).
